Year,State,District,Yield_kg_per_hectare
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0
2023,Andhra Pradesh,Alluri Sitharama Raju,1769.2307692307693
2023,Andhra Pradesh,Alluri Sitharama Raju,3000.0
2023,Andhra Pradesh,Alluri Sitharama Raju,1792.4528301886792
2023,Andhra Pradesh,Anakapalli,2577.777777777778
2023,Andhra Pradesh,Anakapalli,4000.0
2023,Andhra Pradesh,Anakapalli,2608.695652173913
2023,Andhra Pradesh,Anantapur,3545.4545454545455
2023,Andhra Pradesh,Anantapur,3333.3333333333335
2023,Andhra Pradesh,Anantapur,3520.0
2023,Andhra Pradesh,Annamayya,3666.666666666667
2023,Andhra Pradesh,Annamayya,3333.3333333333335
2023,Andhra Pradesh,Annamayya,3384.6153846153843
2023,Andhra Pradesh,Bapatla,3465.1162790697676
2023,Andhra Pradesh,Bapatla,2999.9999999999995
2023,Andhra Pradesh,Bapatla,3430.1075268817203
2023,Andhra Pradesh,Chittoor,3750.0
2023,Andhra Pradesh,Chittoor,3857.142857142857
2023,Andhra Pradesh,Chittoor,3625.0
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,3531.25
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,5057.971014492754
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,4323.308270676692
2023,Andhra Pradesh,East Godavari,4138.888888888889
2023,Andhra Pradesh,East Godavari,5249.999999999999
2023,Andhra Pradesh,East Godavari,4661.417322834645
2023,Andhra Pradesh,Eluru,4215.189873417721
2023,Andhra Pradesh,Eluru,5125.0
2023,Andhra Pradesh,Eluru,4437.5
2023,Andhra Pradesh,Guntur,3781.8181818181815
2023,Andhra Pradesh,Guntur,inf
2023,Andhra Pradesh,Guntur,3732.142857142857
2023,Andhra Pradesh,Kakinada,3602.409638554217
2023,Andhra Pradesh,Kakinada,5015.384615384615
2023,Andhra Pradesh,Kakinada,4222.972972972973
2023,Andhra Pradesh,Krishna,3947.3684210526317
2023,Andhra Pradesh,Krishna,4250.0
2023,Andhra Pradesh,Krishna,3929.936305732484
2023,Andhra Pradesh,Kurnool,3384.6153846153843
2023,Andhra Pradesh,Kurnool,2000.0
2023,Andhra Pradesh,Kurnool,3357.142857142857
2023,Andhra Pradesh,Nandyal,4115.384615384615
2023,Andhra Pradesh,Nandyal,3461.5384615384614
2023,Andhra Pradesh,Nandyal,3984.6153846153843
2023,Andhra Pradesh,Ntr,3439.0243902439024
2023,Andhra Pradesh,Ntr,3222.222222222222
2023,Andhra Pradesh,Ntr,3352.9411764705883
2023,Andhra Pradesh,Palnadu,3636.3636363636365
2023,Andhra Pradesh,Palnadu,3400.0
2023,Andhra Pradesh,Palnadu,3625.0
2023,Andhra Pradesh,Parvathipuram Manyam,3176.4705882352937
2023,Andhra Pradesh,Parvathipuram Manyam,4000.0
2023,Andhra Pradesh,Parvathipuram Manyam,3188.4057971014495
2023,Andhra Pradesh,Prakasam,3375.0
2023,Andhra Pradesh,Prakasam,3333.3333333333335
2023,Andhra Pradesh,Prakasam,3357.142857142857
2023,Andhra Pradesh,Spsr Nellore,3953.4883720930234
2023,Andhra Pradesh,Spsr Nellore,4396.226415094339
2023,Andhra Pradesh,Spsr Nellore,4268.456375838926
2023,Andhra Pradesh,Sri Sathya Sai,2750.0
2023,Andhra Pradesh,Sri Sathya Sai,2500.0
2023,Andhra Pradesh,Sri Sathya Sai,2700.0
2023,Andhra Pradesh,Srikakulam,2770.8333333333335
2023,Andhra Pradesh,Srikakulam,3200.0
2023,Andhra Pradesh,Srikakulam,2785.2348993288592
2023,Andhra Pradesh,Tirupati,3791.666666666667
2023,Andhra Pradesh,Tirupati,3701.2987012987014
2023,Andhra Pradesh,Tirupati,3732.6732673267325
2023,Andhra Pradesh,Visakhapatanam,2800.0
2023,Andhra Pradesh,Visakhapatanam,inf
2023,Andhra Pradesh,Visakhapatanam,3000.0
2023,Andhra Pradesh,Vizianagaram,3308.5106382978724
2023,Andhra Pradesh,Vizianagaram,inf
2023,Andhra Pradesh,Vizianagaram,3319.148936170213
2023,Andhra Pradesh,West Godavari,3662.790697674419
2023,Andhra Pradesh,West Godavari,5584.269662921348
2023,Andhra Pradesh,West Godavari,4634.285714285714
2023,Andhra Pradesh,Y.S.R.,3434.782608695652
2023,Andhra Pradesh,Y.S.R.,3333.3333333333335
2023,Andhra Pradesh,Y.S.R.,3375.0
2023,Arunachal Pradesh,Anjaw,1000.0
2023,Arunachal Pradesh,Anjaw,1000.0
2023,Arunachal Pradesh,Changlang,2200.0
2023,Arunachal Pradesh,Changlang,2200.0
2023,Arunachal Pradesh,Dibang Valley,1000.0
2023,Arunachal Pradesh,Dibang Valley,1000.0
2023,Arunachal Pradesh,East Kameng,1285.7142857142856
2023,Arunachal Pradesh,East Kameng,1285.7142857142856
2023,Arunachal Pradesh,East Siang,1866.6666666666667
2023,Arunachal Pradesh,East Siang,1866.6666666666667
2023,Arunachal Pradesh,Kamle,1750.0
2023,Arunachal Pradesh,Kamle,1750.0
2023,Arunachal Pradesh,Kra Daadi,1000.0
2023,Arunachal Pradesh,Kra Daadi,1000.0
2023,Arunachal Pradesh,Kurung Kumey,1000.0
2023,Arunachal Pradesh,Kurung Kumey,1000.0
2023,Arunachal Pradesh,Leparada,1500.0
2023,Arunachal Pradesh,Leparada,1500.0
2023,Arunachal Pradesh,Lohit,2000.0
2023,Arunachal Pradesh,Lohit,2000.0
2023,Arunachal Pradesh,Longding,2000.0
2023,Arunachal Pradesh,Longding,2000.0
2023,Arunachal Pradesh,Lower Dibang Valley,1714.2857142857142
2023,Arunachal Pradesh,Lower Dibang Valley,1714.2857142857142
2023,Arunachal Pradesh,Lower Siang,1600.0
2023,Arunachal Pradesh,Lower Siang,1600.0
2023,Arunachal Pradesh,Lower Subansiri,2166.666666666667
2023,Arunachal Pradesh,Lower Subansiri,2166.666666666667
2023,Arunachal Pradesh,Namsai,2222.222222222222
2023,Arunachal Pradesh,Namsai,2222.222222222222
2023,Arunachal Pradesh,Pakke Kessang,1333.3333333333335
2023,Arunachal Pradesh,Pakke Kessang,1333.3333333333335
2023,Arunachal Pradesh,Papum Pare,2083.3333333333335
2023,Arunachal Pradesh,Papum Pare,2083.3333333333335
2023,Arunachal Pradesh,Shi Yomi,1666.6666666666667
2023,Arunachal Pradesh,Shi Yomi,1666.6666666666667
2023,Arunachal Pradesh,Siang,2125.0
2023,Arunachal Pradesh,Siang,2125.0
2023,Arunachal Pradesh,Tawang,2000.0
2023,Arunachal Pradesh,Tawang,2000.0
2023,Arunachal Pradesh,Tirap,1666.6666666666667
2023,Arunachal Pradesh,Tirap,1666.6666666666667
2023,Arunachal Pradesh,Upper Siang,1999.9999999999998
2023,Arunachal Pradesh,Upper Siang,1999.9999999999998
2023,Arunachal Pradesh,Upper Subansiri,2250.0
2023,Arunachal Pradesh,Upper Subansiri,1800.0
2023,Arunachal Pradesh,West Kameng,2000.0
2023,Arunachal Pradesh,West Kameng,2000.0
2023,Arunachal Pradesh,West Siang,1833.3333333333335
2023,Arunachal Pradesh,West Siang,1833.3333333333335
2023,Assam,Baksa,2057.4712643678163
2023,Assam,Baksa,3000.0
2023,Assam,Baksa,2112.3595505617977
2023,Assam,Barpeta,1633.3333333333335
2023,Assam,Barpeta,3711.111111111111
2023,Assam,Barpeta,2500.0
2023,Assam,Biswanath,1698.1132075471696
2023,Assam,Biswanath,2600.0
2023,Assam,Biswanath,1775.8620689655174
2023,Assam,Bongaigaon,2044.4444444444443
2023,Assam,Bongaigaon,3285.7142857142853
2023,Assam,Bongaigaon,2338.983050847458
2023,Assam,Cachar,2587.5
2023,Assam,Cachar,2000.0
2023,Assam,Cachar,2571.4285714285716
2023,Assam,Charaideo,2058.8235294117644
2023,Assam,Charaideo,2058.8235294117644
2023,Assam,Chirang,2333.3333333333335
2023,Assam,Chirang,2500.0
2023,Assam,Chirang,2342.1052631578946
2023,Assam,Darrang,2117.6470588235293
2023,Assam,Darrang,3529.411764705882
2023,Assam,Darrang,2434.7826086956525
2023,Assam,Dhemaji,2068.4931506849316
2023,Assam,Dhemaji,2750.0
2023,Assam,Dhemaji,2116.883116883117
2023,Assam,Dhubri,1971.4285714285716
2023,Assam,Dhubri,3489.795918367347
2023,Assam,Dhubri,2857.1428571428573
2023,Assam,Dibrugarh,2670.886075949367
2023,Assam,Dibrugarh,2000.0
2023,Assam,Dibrugarh,2696.2025316455697
2023,Assam,Dima Hasao,1333.3333333333335
2023,Assam,Dima Hasao,1333.3333333333335
2023,Assam,Goalpara,1937.5
2023,Assam,Goalpara,2749.9999999999995
2023,Assam,Goalpara,2266.6666666666665
2023,Assam,Golaghat,2958.3333333333335
2023,Assam,Golaghat,3250.0
2023,Assam,Golaghat,2967.741935483871
2023,Assam,Hailakandi,2880.952380952381
2023,Assam,Hailakandi,1000.0
2023,Assam,Hailakandi,2837.2093023255816
2023,Assam,Hojai,3241.379310344828
2023,Assam,Hojai,3142.8571428571427
2023,Assam,Hojai,3230.7692307692305
2023,Assam,Jorhat,2898.5507246376815
2023,Assam,Jorhat,1000.0
2023,Assam,Jorhat,2871.428571428571
2023,Assam,Kamrup,2550.0
2023,Assam,Kamrup,3142.8571428571427
2023,Assam,Kamrup,2703.7037037037035
2023,Assam,Kamrup Metro,2888.888888888889
2023,Assam,Kamrup Metro,3166.666666666667
2023,Assam,Kamrup Metro,3066.666666666667
2023,Assam,Karbi Anglong,2400.0
2023,Assam,Karbi Anglong,2500.0
2023,Assam,Karbi Anglong,2405.4054054054054
2023,Assam,Karimganj,1934.4262295081967
2023,Assam,Karimganj,2000.0
2023,Assam,Karimganj,1939.3939393939393
2023,Assam,Kokrajhar,1867.6470588235293
2023,Assam,Kokrajhar,2777.777777777778
2023,Assam,Kokrajhar,1974.025974025974
2023,Assam,Lakhimpur,1885.4166666666667
2023,Assam,Lakhimpur,2500.0
2023,Assam,Lakhimpur,1955.7522123893807
2023,Assam,Majuli,2750.0
2023,Assam,Majuli,2500.0
2023,Assam,Majuli,2700.0
2023,Assam,Marigaon,2416.666666666667
2023,Assam,Marigaon,2775.0
2023,Assam,Marigaon,2653.3333333333335
2023,Assam,Nagaon,2543.478260869565
2023,Assam,Nagaon,2794.871794871795
2023,Assam,Nagaon,2618.320610687023
2023,Assam,Nalbari,3234.0425531914893
2023,Assam,Nalbari,3800.0
2023,Assam,Nalbari,3288.4615384615386
2023,Assam,Sivasagar,1927.5362318840582
2023,Assam,Sivasagar,1927.5362318840582
2023,Assam,Sonitpur,1712.3287671232877
2023,Assam,Sonitpur,3230.7692307692305
2023,Assam,Sonitpur,1941.860465116279
2023,Assam,South Salmara Mancachar,1600.0
2023,Assam,South Salmara Mancachar,3300.0
2023,Assam,South Salmara Mancachar,2450.0
2023,Assam,Tinsukia,1771.4285714285716
2023,Assam,Tinsukia,1785.7142857142858
2023,Assam,Udalguri,2213.3333333333335
2023,Assam,Udalguri,2545.4545454545455
2023,Assam,Udalguri,2229.885057471264
2023,Assam,West Karbi Anglong,2072.7272727272725
2023,Assam,West Karbi Anglong,2333.3333333333335
2023,Assam,West Karbi Anglong,2122.8070175438597
2023,Bihar,Araria,2250.0
2023,Bihar,Araria,2571.428571428571
2023,Bihar,Araria,2250.0
2023,Bihar,Arwal,3210.5263157894738
2023,Bihar,Arwal,3210.5263157894738
2023,Bihar,Aurangabad,3172.4137931034484
2023,Bihar,Aurangabad,3172.4137931034484
2023,Bihar,Banka,2830.0
2023,Bihar,Banka,2830.0
2023,Bihar,Begusarai,2833.3333333333335
2023,Bihar,Begusarai,2833.3333333333335
2023,Bihar,Bhagalpur,2636.3636363636365
2023,Bihar,Bhagalpur,2636.3636363636365
2023,Bihar,Bhojpur,3116.504854368932
2023,Bihar,Bhojpur,3116.504854368932
2023,Bihar,Buxar,3590.909090909091
2023,Bihar,Buxar,3590.909090909091
2023,Bihar,Darbhanga,2020.8333333333335
2023,Bihar,Darbhanga,2500.0
2023,Bihar,Darbhanga,2040.0
2023,Bihar,Gaya,2447.0588235294117
2023,Bihar,Gaya,2447.0588235294117
2023,Bihar,Gopalganj,1428.5714285714287
2023,Bihar,Gopalganj,1428.5714285714287
2023,Bihar,Jamui,2717.948717948718
2023,Bihar,Jamui,2717.948717948718
2023,Bihar,Jehanabad,2978.260869565217
2023,Bihar,Jehanabad,2978.260869565217
2023,Bihar,Kaimur (Bhabua),3223.0215827338134
2023,Bihar,Kaimur (Bhabua),3223.0215827338134
2023,Bihar,Katihar,2196.72131147541
2023,Bihar,Katihar,2681.818181818182
2023,Bihar,Katihar,2365.8536585365855
2023,Bihar,Khagaria,2294.1176470588234
2023,Bihar,Khagaria,2294.1176470588234
2023,Bihar,Kishanganj,2345.679012345679
2023,Bihar,Kishanganj,3428.5714285714284
2023,Bihar,Kishanganj,2505.263157894737
2023,Bihar,Lakhisarai,3448.2758620689656
2023,Bihar,Lakhisarai,3448.2758620689656
2023,Bihar,Madhepura,2328.125
2023,Bihar,Madhepura,2328.125
2023,Bihar,Madhubani,2136.0946745562132
2023,Bihar,Madhubani,2500.0
2023,Bihar,Madhubani,2144.508670520231
2023,Bihar,Munger,3280.0
2023,Bihar,Munger,inf
2023,Bihar,Munger,3192.3076923076924
2023,Bihar,Muzaffarpur,2103.7037037037035
2023,Bihar,Muzaffarpur,2103.7037037037035
2023,Bihar,Nalanda,2769.911504424779
2023,Bihar,Nalanda,2778.761061946903
2023,Bihar,Nawada,2695.6521739130435
2023,Bihar,Nawada,2695.6521739130435
2023,Bihar,Pashchim Champaran,1904.7619047619048
2023,Bihar,Pashchim Champaran,1904.7619047619048
2023,Bihar,Patna,2959.4594594594596
2023,Bihar,Patna,2959.4594594594596
2023,Bihar,Purbi Champaran,1522.1674876847292
2023,Bihar,Purbi Champaran,1522.1674876847292
2023,Bihar,Purnia,2443.298969072165
2023,Bihar,Purnia,3000.0
2023,Bihar,Purnia,2470.5882352941176
2023,Bihar,Rohtas,3835.0515463917527
2023,Bihar,Rohtas,3835.0515463917527
2023,Bihar,Saharsa,2150.0
2023,Bihar,Saharsa,3500.0
2023,Bihar,Saharsa,2182.9268292682927
2023,Bihar,Samastipur,2593.0232558139537
2023,Bihar,Samastipur,2593.0232558139537
2023,Bihar,Saran,2707.6923076923076
2023,Bihar,Saran,2707.6923076923076
2023,Bihar,Sheikhpura,2791.666666666667
2023,Bihar,Sheikhpura,2791.666666666667
2023,Bihar,Sheohar,2000.0
2023,Bihar,Sheohar,2000.0
2023,Bihar,Sitamarhi,1723.2142857142856
2023,Bihar,Sitamarhi,1723.2142857142856
2023,Bihar,Siwan,1802.197802197802
2023,Bihar,Siwan,1802.197802197802
2023,Bihar,Supaul,2292.452830188679
2023,Bihar,Supaul,2000.0
2023,Bihar,Supaul,2308.4112149532707
2023,Bihar,Vaishali,2526.315789473684
2023,Bihar,Vaishali,2526.315789473684
2023,Chhattisgarh,Balod,3844.311377245509
2023,Chhattisgarh,Balod,3844.311377245509
2023,Chhattisgarh,Baloda Bazar,2950.0
2023,Chhattisgarh,Baloda Bazar,2950.0
2023,Chhattisgarh,Balrampur,2540.229885057471
2023,Chhattisgarh,Balrampur,2540.229885057471
2023,Chhattisgarh,Bastar,2336.283185840708
2023,Chhattisgarh,Bastar,2336.283185840708
2023,Chhattisgarh,Bemetara,2928.9340101522844
2023,Chhattisgarh,Bemetara,2928.9340101522844
2023,Chhattisgarh,Bijapur,1662.162162162162
2023,Chhattisgarh,Bijapur,1662.162162162162
2023,Chhattisgarh,Bilaspur,3167.701863354037
2023,Chhattisgarh,Bilaspur,3167.701863354037
2023,Chhattisgarh,Dantewada,1421.875
2023,Chhattisgarh,Dantewada,1421.875
2023,Chhattisgarh,Dhamtari,3872.48322147651
2023,Chhattisgarh,Dhamtari,3872.48322147651
2023,Chhattisgarh,Durg,2624.0
2023,Chhattisgarh,Durg,2624.0
2023,Chhattisgarh,Gariyaband,2119.047619047619
2023,Chhattisgarh,Gariyaband,2119.047619047619
2023,Chhattisgarh,Gaurella Pendra Marwahi,2981.4814814814813
2023,Chhattisgarh,Gaurella Pendra Marwahi,2981.4814814814813
2023,Chhattisgarh,Janjgir-Champa,3234.0425531914893
2023,Chhattisgarh,Janjgir-Champa,3234.0425531914893
2023,Chhattisgarh,Jashpur,1453.3333333333333
2023,Chhattisgarh,Jashpur,1453.3333333333333
2023,Chhattisgarh,Kabirdham,2059.82905982906
2023,Chhattisgarh,Kabirdham,2059.82905982906
2023,Chhattisgarh,Kanker,1851.1904761904761
2023,Chhattisgarh,Kanker,1851.1904761904761
2023,Chhattisgarh,Khairagarh Chhuikhadan Gandai,2200.0
2023,Chhattisgarh,Khairagarh Chhuikhadan Gandai,2200.0
2023,Chhattisgarh,Kondagaon,1833.3333333333333
2023,Chhattisgarh,Kondagaon,1833.3333333333333
2023,Chhattisgarh,Korba,1735.2941176470588
2023,Chhattisgarh,Korba,1735.2941176470588
2023,Chhattisgarh,Korea,1783.7837837837837
2023,Chhattisgarh,Korea,1783.7837837837837
2023,Chhattisgarh,Mahasamund,1938.5245901639344
2023,Chhattisgarh,Mahasamund,1938.5245901639344
2023,Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,1766.6666666666667
2023,Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,1766.6666666666667
2023,Chhattisgarh,Mohla Manpur Ambagarh Chouki,2554.054054054054
2023,Chhattisgarh,Mohla Manpur Ambagarh Chouki,2554.054054054054
2023,Chhattisgarh,Mungeli,2760.6837606837607
2023,Chhattisgarh,Mungeli,2760.6837606837607
2023,Chhattisgarh,Narayanpur,1350.0
2023,Chhattisgarh,Narayanpur,1350.0
2023,Chhattisgarh,Raigarh,2312.0567375886526
2023,Chhattisgarh,Raigarh,2312.0567375886526
2023,Chhattisgarh,Raipur,3393.3333333333335
2023,Chhattisgarh,Raipur,3393.3333333333335
2023,Chhattisgarh,Rajnandgaon,2623.456790123457
2023,Chhattisgarh,Rajnandgaon,2623.456790123457
2023,Chhattisgarh,Sakti,3361.111111111111
2023,Chhattisgarh,Sakti,3361.111111111111
2023,Chhattisgarh,Sarangarh Bilaigarh,3436.170212765958
2023,Chhattisgarh,Sarangarh Bilaigarh,3436.170212765958
2023,Chhattisgarh,Sukma,2037.037037037037
2023,Chhattisgarh,Sukma,2037.037037037037
2023,Chhattisgarh,Surajpur,1980.7692307692307
2023,Chhattisgarh,Surajpur,1980.7692307692307
2023,Chhattisgarh,Surguja,1911.764705882353
2023,Chhattisgarh,Surguja,1911.764705882353
2023,Goa,North Goa,3000.0
2023,Goa,North Goa,3500.0
2023,Goa,North Goa,3076.9230769230767
2023,Goa,South Goa,2692.3076923076924
2023,Goa,South Goa,2857.142857142857
2023,Goa,South Goa,2750.0
2023,Gujarat,Ahmadabad,2662.0689655172414
2023,Gujarat,Ahmadabad,2800.0
2023,Gujarat,Ahmadabad,2698.3240223463686
2023,Gujarat,Anand,2780.487804878049
2023,Gujarat,Anand,3200.0
2023,Gujarat,Anand,2819.548872180451
2023,Gujarat,Arvalli,2000.0
2023,Gujarat,Arvalli,2000.0
2023,Gujarat,Bharuch,1700.0
2023,Gujarat,Bharuch,3000.0
2023,Gujarat,Bharuch,2125.0
2023,Gujarat,Chhotaudepur,1200.0
2023,Gujarat,Chhotaudepur,1200.0
2023,Gujarat,Dang,1935.483870967742
2023,Gujarat,Dang,1935.483870967742
2023,Gujarat,Dohad,1575.0
2023,Gujarat,Dohad,1575.0
2023,Gujarat,Gandhinagar,2333.3333333333335
2023,Gujarat,Gandhinagar,2333.3333333333335
2023,Gujarat,Kheda,2721.739130434783
2023,Gujarat,Kheda,2857.142857142857
2023,Gujarat,Kheda,2744.186046511628
2023,Gujarat,Mahesana,1999.9999999999998
2023,Gujarat,Mahesana,2142.8571428571427
2023,Gujarat,Mahisagar,2268.2926829268295
2023,Gujarat,Mahisagar,2214.285714285714
2023,Gujarat,Narmada,1000.0
2023,Gujarat,Narmada,1000.0
2023,Gujarat,Navsari,2844.4444444444443
2023,Gujarat,Navsari,3000.0
2023,Gujarat,Navsari,2823.529411764706
2023,Gujarat,Panch Mahals,1829.7872340425533
2023,Gujarat,Panch Mahals,3000.0
2023,Gujarat,Panch Mahals,1862.7450980392157
2023,Gujarat,Sabar Kantha,2999.9999999999995
2023,Gujarat,Sabar Kantha,2999.9999999999995
2023,Gujarat,Surat,2325.5813953488373
2023,Gujarat,Surat,2466.666666666667
2023,Gujarat,Surat,2379.3103448275865
2023,Gujarat,Surendranagar,2500.0
2023,Gujarat,Surendranagar,inf
2023,Gujarat,Surendranagar,3000.0
2023,Gujarat,Tapi,2608.6956521739135
2023,Gujarat,Tapi,4000.0
2023,Gujarat,Tapi,2628.571428571429
2023,Gujarat,Vadodara,1970.5882352941176
2023,Gujarat,Vadodara,2200.0
2023,Gujarat,Vadodara,2000.0
2023,Gujarat,Valsad,2657.8947368421054
2023,Gujarat,Valsad,2000.0
2023,Gujarat,Valsad,2697.3684210526317
2023,Haryana,Ambala,4265.957446808511
2023,Haryana,Ambala,4265.957446808511
2023,Haryana,Bhiwani,2857.142857142857
2023,Haryana,Bhiwani,2857.142857142857
2023,Haryana,Charki Dadri,2555.5555555555557
2023,Haryana,Charki Dadri,2555.5555555555557
2023,Haryana,Faridabad,2642.8571428571427
2023,Haryana,Faridabad,2642.8571428571427
2023,Haryana,Fatehabad,4223.880597014925
2023,Haryana,Fatehabad,4223.880597014925
2023,Haryana,Gurugram,2666.666666666667
2023,Haryana,Gurugram,2666.666666666667
2023,Haryana,Hisar,3152.3809523809523
2023,Haryana,Hisar,3152.3809523809523
2023,Haryana,Jhajjar,2763.6363636363635
2023,Haryana,Jhajjar,2763.6363636363635
2023,Haryana,Jind,4222.891566265061
2023,Haryana,Jind,4222.891566265061
2023,Haryana,Kaithal,4260.869565217391
2023,Haryana,Kaithal,4260.869565217391
2023,Haryana,Karnal,4253.0120481927715
2023,Haryana,Karnal,4253.0120481927715
2023,Haryana,Kurukshetra,4814.159292035399
2023,Haryana,Kurukshetra,4814.159292035399
2023,Haryana,Nuh,2272.7272727272725
2023,Haryana,Nuh,2272.7272727272725
2023,Haryana,Palwal,3055.5555555555557
2023,Haryana,Palwal,3055.5555555555557
2023,Haryana,Panchkula,4916.666666666667
2023,Haryana,Panchkula,4916.666666666667
2023,Haryana,Panipat,3397.260273972603
2023,Haryana,Panipat,3397.260273972603
2023,Haryana,Rewari,3500.0
2023,Haryana,Rewari,3500.0
2023,Haryana,Rohtak,3141.025641025641
2023,Haryana,Rohtak,3141.025641025641
2023,Haryana,Sirsa,3531.531531531531
2023,Haryana,Sirsa,3531.531531531531
2023,Haryana,Sonipat,2842.105263157895
2023,Haryana,Sonipat,2842.105263157895
2023,Haryana,Yamunanagar,4311.688311688312
2023,Haryana,Yamunanagar,4311.688311688312
2023,Himachal Pradesh,Bilaspur,1000.0
2023,Himachal Pradesh,Bilaspur,1000.0
2023,Himachal Pradesh,Chamba,1500.0
2023,Himachal Pradesh,Chamba,1500.0
2023,Himachal Pradesh,Hamirpur,2000.0
2023,Himachal Pradesh,Hamirpur,2000.0
2023,Himachal Pradesh,Kangra,2468.75
2023,Himachal Pradesh,Kangra,2468.75
2023,Himachal Pradesh,Mandi,2000.0
2023,Himachal Pradesh,Mandi,2000.0
2023,Himachal Pradesh,Sirmaur,2625.0
2023,Himachal Pradesh,Sirmaur,2625.0
2023,Himachal Pradesh,Solan,5200.0
2023,Himachal Pradesh,Solan,5200.0
2023,Himachal Pradesh,Una,2000.0
2023,Himachal Pradesh,Una,2000.0
2023,Jammu And Kashmir,Anantnag,2958.3333333333335
2023,Jammu And Kashmir,Anantnag,2958.3333333333335
2023,Jammu And Kashmir,Bandipora,3000.0
2023,Jammu And Kashmir,Bandipora,3000.0
2023,Jammu And Kashmir,Baramulla,2650.0
2023,Jammu And Kashmir,Baramulla,2650.0
2023,Jammu And Kashmir,Budgam,2160.0
2023,Jammu And Kashmir,Budgam,2160.0
2023,Jammu And Kashmir,Doda,2000.0
2023,Jammu And Kashmir,Doda,2000.0
2023,Jammu And Kashmir,Ganderbal,3142.8571428571427
2023,Jammu And Kashmir,Ganderbal,3142.8571428571427
2023,Jammu And Kashmir,Jammu,3037.037037037037
2023,Jammu And Kashmir,Jammu,3037.037037037037
2023,Jammu And Kashmir,Kathua,2088.235294117647
2023,Jammu And Kashmir,Kathua,2088.235294117647
2023,Jammu And Kashmir,Kishtwar,2000.0
2023,Jammu And Kashmir,Kishtwar,2000.0
2023,Jammu And Kashmir,Kulgam,2750.0
2023,Jammu And Kashmir,Kulgam,2750.0
2023,Jammu And Kashmir,Kupwara,2352.9411764705883
2023,Jammu And Kashmir,Kupwara,2352.9411764705883
2023,Jammu And Kashmir,Poonch,1000.0
2023,Jammu And Kashmir,Poonch,1000.0
2023,Jammu And Kashmir,Pulwama,2272.7272727272725
2023,Jammu And Kashmir,Pulwama,2272.7272727272725
2023,Jammu And Kashmir,Rajouri,2000.0
2023,Jammu And Kashmir,Rajouri,2000.0
2023,Jammu And Kashmir,Ramban,1000.0
2023,Jammu And Kashmir,Ramban,1000.0
2023,Jammu And Kashmir,Reasi,3000.0
2023,Jammu And Kashmir,Reasi,3000.0
2023,Jammu And Kashmir,Samba,1578.9473684210527
2023,Jammu And Kashmir,Samba,1578.9473684210527
2023,Jammu And Kashmir,Srinagar,3000.0
2023,Jammu And Kashmir,Srinagar,3000.0
2023,Jammu And Kashmir,Udhampur,1857.1428571428569
2023,Jammu And Kashmir,Udhampur,1857.1428571428569
2023,Jharkhand,Bokaro,1117.6470588235293
2023,Jharkhand,Bokaro,1117.6470588235293
2023,Jharkhand,Chatra,1913.0434782608695
2023,Jharkhand,Chatra,1913.0434782608695
2023,Jharkhand,Deoghar,2250.0
